cell_type,rank,names,scores,logfoldchanges,pvals,pvals_adj
L2/3-6 intratelencephalic projecting glutamatergic neuron,0,ENSG00000288104,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,1,ENSG00000000003,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,2,ENSG00000288722,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,3,ENSG00000288709,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,4,ENSG00000288705,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,5,ENSG00000288702,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,6,ENSG00000288701,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,7,ENSG00000288675,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,8,ENSG00000288649,0.0,,1.0,1.0
L2/3-6 intratelencephalic projecting glutamatergic neuron,9,ENSG00000288642,0.0,,1.0,1.0
